River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6.00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.10,2.95,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.87,4.85,Normal,,,18.6,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.35,11.38,Normal,,,20.9,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,2.25,Normal,,5,,5.2,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.38,1.45,Normal,,,19.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.89,1.41,Normal,,3,,8.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.33,1.23,Normal,,3,,6.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.47,2.49,Normal,,0.6,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.48,8.56,Normal,,4,,2.9,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.58,3.51,Normal,,2.9,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.46,3.46,Normal,,,24.7,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.41,6.44,Alert,Rising,8.7,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.08,3.08,Normal,,5.0,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.86,3.14,Normal,,77.4,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.66,1.66,Alert,,6,,3.4,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.40,5.53,Alert,Rising,4,,8.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.27,3.70,Normal,,105.9,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,4.08,4.37,Minor Flood,Rising,99.4,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.92,3.77,Normal,,0.0,,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.95,3.90,Normal,,,21.8,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.71,2.68,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.70,4.72,Minor Flood,Rising,3,,7.5,
