River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,0.90,1.20,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.78,1.82,Normal,,4,6.4,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.16,10.24,Normal,,3,1.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.67,1.67,Normal,,4,7.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.56,0.58,Normal,,13.8,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.07,1.10,Normal,,4,6.6,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.55,0.56,Normal,,21.8,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.69,0.73,Normal,,17.9,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.42,5.53,Normal,,3,0.2,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.98,2.40,Normal,,15.3,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.27,2.50,Normal,,4,1.5,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.14,4.22,Normal,,75.5,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.10,2.22,Normal,,83.5,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.60,2.89,Normal,,91.5,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.34,0.32,Normal,,3,4.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.38,3.59,Normal,,80.9,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.09,1.17,Normal,,82.9,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.46,0.47,Normal,,4,1.6,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.81,0.83,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.39,0.39,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.71,0.70,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.16,1.16,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.18,-0.17,Normal,,0.2,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.60,0.60,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.40,0.40,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.08,0.08,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.05,-0.04,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.25,-3.26,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.69,1.70,Normal,,10.6,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.78,1.94,Normal,,73.9,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.18,0.17,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.28,1.29,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.50,0.50,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.03,1.03,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.25,0.26,Normal,,0.5,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.13,0.12,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.29,2.29,Normal,,10.5,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.14,1.14,Normal,,7.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.60,1.61,Normal,,15.6,,
