River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.20,1.60,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.93,2.90,Normal,,,22.8,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.70,10.61,Normal,,0.6,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.78,1.57,Normal,,1.8,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.20,1.17,Normal,,,20.2,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.76,0.72,Normal,,0.0,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.99,0.99,Normal,,0.0,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.81,1.76,Normal,,0.0,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.40,6.34,Normal,,6.8,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.21,2.19,Normal,,0.0,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.72,2.66,Normal,,0.0,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.41,5.36,Alert,Falling,0.0,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.15,4.14,Minor Flood,Falling,0.0,,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.39,2.38,Normal,,0.0,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.99,1.99,Minor Flood,,0.0,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.70,5.68,Alert,Falling,0.0,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.58,1.61,Normal,,0.0,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.04,1.04,Normal,,0.0,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,3.06,3.03,Alert,Falling,44.1,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.54,1.52,Normal,,,18.9,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.10,1.09,Normal,,4.7,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.94,1.93,Normal,,,18.0,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.54,1.54,Normal,,5.9,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.77,1.74,Normal,,,20.9,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.13,1.10,Normal,,4.7,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.11,1.10,Normal,,4.5,,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,1.48,1.41,Normal,,5.0,,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,2.62,2.55,Normal,,5.0,,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.83,-0.85,Normal,,0.2,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.42,2.50,Normal,,0.4,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.26,1.26,Normal,,0.6,,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.89,0.89,Normal,,6.5,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,7.17,7.13,Alert,Falling,51.3,,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,2.26,2.23,Normal,,66.7,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,7.29,7.30,Minor Flood,Rising,9.8,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,3.34,3.30,Normal,,0.3,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.22,2.22,Normal,,37,,.1,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.44,3.44,Normal,,11.0,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.36,2.30,Normal,,0.3,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.68,2.60,Normal,,,21.7,,,
