River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.10,4.20,Alert,Rising,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.74,5.74,Normal,,13.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.57,12.58,Normal,,26,.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.91,1.91,Normal,,8.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.22,1.21,Normal,,1.1,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.74,1.76,Normal,,50.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.97,0.97,Normal,,1.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.29,4.29,Minor Flood,,39.7,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.49,10.49,Alert,,15.7,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.56,5.55,Alert,Falling,19.6,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.18,4.10,Alert,Falling,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,8.71,8.69,Major Flood,Falling,25,.5,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.91,2.87,Normal,,0.9,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.71,4.71,Minor Flood,,4.7,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.30,2.30,Minor Flood,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.18,6.16,Minor Flood,Falling,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.15,2.12,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.32,1.28,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.65,3.62,Normal,,2.5,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.41,2.39,Normal,,0.8,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.46,4.46,Minor Flood,,8.4,,
