දින්‍ය : 2026-06-20,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,32,26,90,65,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මඩකලපුව,34,27,80,55,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
වකාළඹ,32,26,95,75,වැසි ස්වල්පයක්
ගාල්ල,31,27,90,75,වැසි ස්වල්පයක්
යාපනය,32,27,85,70,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මහනුවර,30,21,95,75,වැසි ස්වල්පයක්
නුවරඑළිය,23,12,95,85,සිහින් වැසි වාර කිහිපයක්
රත්නපුරය,33,24,95,80,වැසි වාර කිහිපයක්
ිකුණාමලය,34,26,80,50,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,31,28,85,75,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
