பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 6 - 2 0,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,32,26,90,65,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,34,27,80,55,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
வகாழும்பு,32,26,95,75,சிறிதளவில் மலை வபய்யும்
காலி,31,27,90,75,சிறிதளவில் மலை வபய்யும்
யாழ்ப்பாணம்,32,27,85,70,பிரதானமாக சீரான வானிலை
கண்டி,30,21,95,75,சிறிதளவில் மலை வபய்யும்
நுவவரலியா,23,12,95,85,அடிக்கடி சிறிதளவில் மலை வபய்யும்
இரத்தினபுரி,33,24,95,80,அடிக்கடி மலை வபய்யும்
திருககாணமலை,34,26,80,50,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
மன்னார்,31,28,85,75,பிரதானமாக சீரான வானிலை
