දින්‍ය : 2026-07-10,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,27,90,60,ප්‍රධාන වශවයේ වැසි රහිත
මඩකලපුව,36,26,90,45,ප්‍රධාන වශවයේ වැසි රහිත
වකාළඹ,32,28,85,75,වැසි ස්වල්පයක්
ගාල්ල,30,27,90,80,වැසි ස්වල්පයක්
යාපනය,33,28,90,70,ප්‍රධාන වශවයේ වැසි රහිත
මහනුවර,31,22,90,65,වැසි ස්වල්පයක්
නුවරඑළිය,21,13,95,75,වැසි ස්වල්පයක්
රත්නපුරය,33,25,90,60,වැසි ස්වල්පයක්
ිකුණාමලය,37,27,85,45,ප්‍රධාන වශවයේ වැසි රහිත
මේනාරම,31,28,90,75,ප්‍රධාන වශවයේ වැසි රහිත
