දින්‍ය : 2026-04-06,,,,,
න්‍ගරය,උ්්ණත්වය(ප්‍රස. අංශ්‍ක),,සාප්‍රේක්් ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,34,24,95,55,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
මඩකලපුව,32,25,85,70,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගකාළඹ,32,27,80,60,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,31,27,85,70,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
යාපනය,33,24,80,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මහනුවර,31,22,95,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
නුවරඑළිය,20,13,95,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
රත්නපුරය,33,24,95,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ිකුණාමලය,36,25,90,60,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
මන්නාරම,34,27,85,75,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
