River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00 mid
night",Remarks,"Water Level
Rising or
Falling","15 Hr RF
in mm at
12:00 mid
night"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.88,0.9,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.32,5.30,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.35,1.34,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.06,2.06,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.02,4.00,Normal,,0.0
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.30,2.29,Normal,,0.0
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.33,4.32,Minor Flood,Falling,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.54,2.52,Minor Flood,Falling,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.25,6.24,Minor Flood,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.48,1.46,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.74,0.73,Normal,,0.0
