River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.20,1.80,Normal,,-,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,2.38,2.28,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,9.92,9.90,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.81,1.74,Normal,,11.0,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.58,0.56,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,0.60,0.63,Normal,,4.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.51,0.55,Normal,,14.7,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.49,1.50,Normal,,5.2,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.62,5.55,Normal,,10.1,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.20,1.95,Normal,,2.8,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.36,4.27,Alert,Falling,2.8,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.87,4.86,Normal,,4.7,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.42,3.44,Normal,,91.8,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.92,1.90,Normal,,9.4,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.79,0.79,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.60,3.51,Normal,,0.9,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.56,0.49,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,-0.06,-0.06,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.72,0.72,Normal,,4.8,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.89,1.05,Normal,,16.7,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.50,1.43,Normal,,49,,.5
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.25,1.26,Normal,,3,7.2,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.29,-0.28,Normal,,1.2,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.54,0.53,Normal,,0.6,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.13,0.13,Normal,,0.4,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.24,0.23,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.44,-0.43,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.05,-3.09,Normal,,15.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.18,2.30,Normal,,1.9,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.01,1.01,Normal,,0.8,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.23,0.21,Normal,,0.1,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.84,1.84,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.40,0.40,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.51,0.50,Normal,,11.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.03,-0.03,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.22,-0.22,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.18,2.19,Normal,,0.3,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.04,1.02,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.14,3.14,Normal,,0.0,,
