River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water
03
Level
Rising or
1
Falling","Hr RF in
mm at
2.00 pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.70,3.80,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.68,5.61,Normal,,18.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.26,12.14,Normal,,7.3
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.70,1.75,Normal,,6.5
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.20,1.20,Normal,,0.8
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.28,1.17,Normal,,5.1
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.81,0.80,Normal,,3.1
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.98,2.99,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.58,8.59,Normal,,2.6
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.27,4.26,Normal,,6.2
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.97,4.95,Alert,Falling,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.31,7.35,Minor Flood,Rising,2.2
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.97,3.98,Alert,Rising,8.3
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.64,2.63,Normal,,8.3
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.47,1.49,Alert,Rising,3.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.39,5.36,Alert,Falling,12.3
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.44,1.45,Normal,,7.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.66,0.68,Normal,,4.8
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.95,1.56,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.62,0.63,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.84,0.91,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.33,1.33,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.17,-0.17,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.93,0.92,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.62,0.62,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.52,0.52,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.82,0.79,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.45,-2.00,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.85,1.82,Normal,,0.5
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.31,1.38,Normal,,13.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.42,0.43,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.98,2.04,Normal,,4.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.58,0.58,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.79,1.81,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.78,0.78,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.74,4.74,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.97,3.94,Normal,,9.8
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.90,2.89,Normal,,11.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.83,4.82,Minor Flood,Falling,14.5
