,සමස්ථ ආපදා විස්තරය Island-wide Total Incidents Summary,,,සංඛ්‍යාව
• බලපෑ ට ලක් වූ දිස්ත්‍රික් සංඛ්‍යාව,,,15,
• බලපෑ ට ලක් වූ ප්‍රාමේශිය මල්කම් මකාට්ඨාශ සංඛ්‍යාව,,,66,
• බලපෑ ට ලක් වූ මුළු පවුල් සංඛ්‍යාව,,,1079,
• බලපෑ ට ලක් වූ මුළු පුේගල සංඛ්‍යාව,,,3739,
• මියයෑ,,,11,
• තුවාල ලැබූ සංඛ්‍යාව,,,10,
• අතුරුදහන,,,-,
• ිවාස පූර්ණ හාි සංඛ්‍යාව,,,03,
• ිවාස අර්ධ හාි සංඛ්‍යාව,,,361,
• සුරක්ිත ධයස්ථාන සංඛ්‍යාව,,,05,
• සුරක්ිත ධයස්ථානයනි සිටින මුළු පවුල් සංඛ්‍යාව,,,41,
• සුරක්ිත ධයස්ථානයනි සිටින මුළු පුේගල සංඛ්‍යාව,,,131,
• ඥාති ිවාස වල සිටින මුළු පවුල් සංඛ්‍යාව,,,125,
• ඥාති ිවාස වල සිටින මුළු පුේගල සංඛ්‍යාව,,,433,
