දිස්ික්කය,විමසිලිමත්ත මට්ටම (කහ),අවදානම් මට්ටම (ඇම්බර්),ඉවත්තවීම (රතු)
බදුල්ල,"බණ්ඩඩාරමවල, හපුතමල්, වැලි ඩ,
බදුල්ල, ලුණුගල","පස්සර ,හල්දුම්මුල්ල, ඌව
පරණග , මීගහකිවුල, ඇල්ල,
හාලි ඇල, කනදකැටිය",-
හනුවර,"උඩුනුවර, ගඟඉහල මකාරමල්,
තුම්පමන, උඩපලාත, පාතදුම්බර,
පස්බාමේමකාරමල්, පනවිල,
ැදදුම්බර,","යටිනුවර, පාතමහ්වාහැට,
ගඟවටමකෝරමල්","උඩුදුම්බර, මිිමේ,
මදාළුව"
කෑගල්ල,"රුවනවැල්ල, රඹුක්කන,
යටියනමතාට, දැරියගල,
ගලිගමුව, අරණායක, කෑගල්ල,
වරකාමපාල",ාවනැල්ල,-
කුරුණෑගල,"ල්ලවපිටිය, ාවතග , රිදීග",,
ාතමල්,,"අඹනගඟ මකෝරමල්,
පල්මලමපාල, රත්මතාට, නාඋල,
යටවත්ත,උකුමවල, විල්ගමුව",
නුවරඑළිය,,"නුවරඑළිය, මකාත් මල්
නැමගනිර, මකාත් මල් බටිර,
තලවකැමල්, අඹගමුව, මනෝර්වුඩ්","වලපමන, හඟුරනමකත,
ිල්දණ්ඩඩාිනන, තුරට"
රත්නපුර,"ඇඹිලිපිටිය, කිරිඇල්ල,
ඕපනායක, වැලිමගමපාල","රත්නපුර, මකාමලානන, කලවාන,
ඇලපාත, අයග , බලංමගාඩ,
කහවත්ත , ඉඹුල්මප, ිවිතිගල,
කල්මතාට",-
ම ාණරාගල,,"බඩල්කුඹුර, ැදග , බිබිල",
