දිස්ික්කය,ස්ථානය,වර්ෂාපතනය (මි.මි),ප්‍රා.වේ.වකාට්ඨා ය
නුවරඑළිය,සූරියගහපතන,322.60,වලපමන
නුවරඑලිය,අලමකාලවැව,254.40,වලපමන
හනුවර,උඩුදුම්බර,253.00,උඩුදුම්බර
නුවරඑළිය,කනමදමපාල,254.20,හඟුරනමකත
නුවරඑළිය,මුනවත්ත,253.00,වලපමන
නුවරඑළිය,උඩුපුස්සෑල්ලෑව,245.80,වලපමන
නුවරඑළිය,වටමඹ,232.80,වලපමන
හනුවර,කයිකාවල,230.40,උඩුදුම්බර
ාතමල්,ගම් ඩුවඅඹ,229.20,අඹනගඟමකෝරමල්
නුවරඑළිය,මහ්වාහැට,225.80,හඟුරනමකත
නුවරඑළිය,ශානතමලනාඩ්,224.20,වලපමන
ාතමල්,මහට්ටිමපාල,207.20,විල්ගමුව
බදුල්ල,වියලුව,201.60,කනදකැටිය
ම ාණරාගල,ැදග,198.80,ැදග
අම්පාර,ලාහුගල,192.50,ලාහුගල
ාතමල්,කනමදනුවර,192.20,රත්මතාට
නුවරඑළිය,ිල්දනඩිනන,187.20,වලපමන
හනුවර,නුගතැනන,182.40,උඩුදුම්බර
ාතමල්,හුණුගල්ල,182.00,රත්මතාට
බදුල්ල,මීගහකිවුල,181.20,මීගහකිවුල
හනුවර,පල්මලමවල,176.80,පල්මලමවල
හනුවර,ඩුගල්ල,167.00,මදාළුව
නුවරඑළිය,මකාටමඹ,161.00,වලපමන
අම්පාර,හඔය,155.50,හඔය
බදුල්ල,වැමව්නග,151.60,ඌව පරණග
ාතමල්,ද නයාය,148.00,නාඋල
නුවරඑළිය,ශානත මලනාඩ්,140.80,පාතමහව් ාහැට
බදුල්ල,මබෝගහ ිත්ත,140.60,හාලිඇල
හනුවර,ැද හනුවර,140.60,ැදදුම්බර
බදුල්ල,ස්රංවැලි,139.40,හාලිඇල
ාතමල්,අංකනද,139.20,අඹනගඟමකෝරමල්
බදුල්ල,ඌව මවල්ලස්ස,136.60,බදුල්ල
ාතමල්,ඇල්කඩුව,136.40,උකුමවල
බදුල්ල,උඩුවර,137.40,හාලිඇල
බදුල්ල,කැඳමගාල්ල,137.20,බදුල්ල
හනුවර,උිස්පත්තුව,134.40,ැදදුම්බර
හනුවර,ම ාරමහ්න,126.80,මදාළුව
හනුවර,ගලහ,112.00,මදල්මතාට
බදුල්ල,හාලිඇල,111.80,හාලිඇල
ම ාණරාගල,මේවතුර,110.00,බඩල්කුඹුර
ාතමල්,පල්මලමපාල,109.20,පල්මලමපාල
ාතමල්,යටවත්ත,105.20,යටවත්ත
හනුවර,දුනිනන,106.00,ැද දුම්බර
