,අනු,,දිස්ික්කය,,දිනය,ආපදාව,ප්‍රා.වේ.වකා,මධ්‍යස්ථානවේ නම,,,පවුේ,,,පුද්ගලයින්,
,අං.,,,,,,,,,,සංඛ්‍යාව,,,සංඛ්‍යාව,
01,,,රත්නපුර,,2025.11.21,"නායයෑමම්
අවදාන",මකාමළානන,"මබාරළුවමේ අයින
ග්‍රා.ි. වසමම් ප්‍රජාශක්ති
ධයස්ථානය",,08,,,27,,
02,,,රත්නපුර,,2025.11.24,"තද වර්ෂාව
හා
ගල්මපරළී
මම්
අවදාන",බලංමගාඩ,"මපට්ටිගල සිංහල
විදයාලය",,08,,,31,,
,,,,,2025.11.25,,,"එමගාඩ වමල්මබාඩ
විදයාලය",,14,,,37,,
,,,දිස්ික් එකතුව (03),,,,,,,30,,,95,,
03,,,නුවරඑළිය,,2025.11.21,"නායයෑමම්
අවදාන",නුවරඑළිය,"මගාරඬිමහල ග්‍රා.ි
වසමම් සංඛ්‍ගිරි
විහාරස්ථානය",,09,,,27,,
,,,,දිස්ික් එකතුව (01),,,,,,,09,,,27,
04,,,යාපනය,,2025.11.23,"තද සුළං /
ක්ෂණික
ගංවතුර",චාවකච්මච්රිය,"J /327 ග්‍රා.ි වසමම්
මපාක්කි GTMS
පාසල",,02,,,09,,
,,,,දිස්ික් එකතුව (01),,,,,,,02,,,09,
,,,මුළු සුරක්ිත මධ්‍යස්ථාන සංඛ්‍යාව (05),,,,,,,41,,,131,,
