"අනු
අංකය",දිස්ික්කය,ජලා ය,විවෘත කර ඇති වාන් වදාරටු ප්‍රමාණය
01,අනුරාධපුරය,රාජාංගනය,"වානමදාරටු 06 අි 06 බැගින ද
වානමදාරටු 02 අි 04 බැගින ද
වානමදාරටු 02 අි 02 බැගින ද විවෘතකර ඇත."
02,,අංගමුව,වානමදාරටු 02 අි 04 බැගින විවෘතකර ඇත.
03,,කලාවැව,වානමදාරටු 02 අි 04 බැගින විවෘතකර ඇත.
04,කුරුණෑගල,දැදුරු ඔය,"වානමදාරටු 02 අි 04 බැගින ද
වානමදාරටු 02 අි 02 බැගින ද විවෘතකර ඇත."
05,හනුවර,මපාල්මගාල්ල,වානමදාරටු 03 අි 02 අඟල් 06 බැගින විවෘතකර ඇත.
06,ම ාණරාගල,මවමහරගල,"වානමදාරටු 02 අි 01 බැගිනද
වානමදාරටු 04 අඟල් 06 බැගින ද විවෘතකර ඇත."
07,ාතමල්,මබෝවතැනන,වානමදාරටු 06 අි 03 බැගින විවෘතකර ඇත.
08,හනුවර,රනටැමේ,වානමදාරටු 02 මීටර් 2 ½ බැගින විවෘතකර ඇත.
09,බදුල්ල,උල්ිටිය - රත්කිඳ,වානමදාරටු 07 අි 01 බැගින විවෘතකර ඇත.
