දිස්ික්කය,"ප්‍රා.වේ.වකා./
ස්ථානය",සිදුවීම
ාතමල්,රත්මතාට,"බඹරගිරිඇල්ල ග්‍රා.ි වසමම් අතුරු ාර්ගයකට ගසක් කඩා වැටී ාර්ගය අවිර වී තිබූ අතර
ාර්ග සංවර්ධන අධිකාරිය විසින එ අවිරතා ඉවත් කර යථා තත්ත්වයට පත් කරන ලද
බව දැනුවත් කරන ලදි."
ාතමල්,රත්මතාට,"ඩකුඹුර ග්‍රා.ි වසමම් පස් කණ්ඩියක් කඩා වැටී මහතු් මවන ඩකුඹුර - රත්මතාට
ාර්ගය අවිර වී තිබූ අතර පළාත් ාර්ග සංවර්ධන අධිකාරිය විසින එ අවිරතා ඉවත් කර
යථා තත්ත්වයට පත් කරන ලද බව දැනුවත් කරන ලදි."
ාතමල්,රත්මතාට,"මබෝධිමකාටුව ග්‍රා.ි වසමම් අතුරු ාර්ගයකට ාර ගසක් කඩා වැටී අවිර වී තිබූ අතර
ාර්ග සංවර්ධන අධිකාරිය විසින එ අවිරතා ඉවත් කර යථා තත්ත්වයට පත් කරන ලද
බව දැනුවත් කරන ලදි."
ාතමල්,රත්මතාට,"මවලනගහවත්මත් ග්‍රා.ි වසමම් ගසක් කඩා වැටී මවලනගහවත්ත පාර අවිර වී තිබූ අතර
එ ාර්ගය පළාත් ාර්ග සංවර්ධන අධිකාරිය විසින එ අවිරතා ඉවත් කර යථා
තත්ත්වයට පත් කරන ලද බව දැනුවත් කරන ලදි."
කුරුණෑගල,ඉබ්බාගමුව,"පවතින වර්ෂාපතනය මහ්තුමවන 0930 පැයට ප ණ මගාකරැල්ල මපාලිස් බල ප්‍රමේශමේ
වල්මපාල - කුඩා ඔය ාර්ගමේ යතුරු පැදියක ග න කරමින සිටි පුේගලමයකු තට මපාල්
ගසක් කඩා වැටී මහ්තුමවන එ පුේගලයා එ ස්ථානමේ මිය මගාස් ඇති බව වාර්තා විය."
පුත්තල,ාදම්මප,"ාදම්මප, රත් ල් ඔයට ම ෝටර් රථයක් වැටී මහ්තුමවන එි ග න ගත් කානතාවක් හා
පිරිමි පුේගලමයක් මියමගාස් ඇති අතර ළ සිරුරු ාරවිල මරෝහමල් තැනපත් කර ඇති බව
වාර්තා විය."
අනුරාධපුර,මහාමරාව්නමපාතාන,"124 ගම් හමේවැව, කකුල්බැදි දිගිලිය වැමව්න වාන කඩාමගන මගාස් ඇති අතර ම වැව
යටමත් දැනට අක්කර 170 ක් ප ණ වගා කර ඇත. මම් වන විට මහාමරාව්නපතාන යුධ හමුදා
කඳවුමර් 25ක් භට පිරිසක් හා ගම් වාසීන එක්ව එ ස්ථානයට වැලි මකාට්ට ගසන බව වාර්තා
විය."
අනුරාධපුර,"නැමගනිර
නුවරගම් පළාත","256, III පියවර, II මකාටස ග්‍රා ිලධාරී වසම ි නයා බැඳි ඇල ස්ථානමේ ාර්ගය ගිලා
බැසී ට ලක්වී ඇති අතර මම් සම්බනදමයන අනුරාධපුර හ නගර සභාව දැනුවත් කර එ
ස්ථානමේ අවදානම් තත්ත්වය අව කරලී සඳහා අවශය කටයුතු සිදු කරන බව දැනුම් මදන
ලදී."
