දිස්ික්කය,"ප්‍රා.වේ.
කාර්යාලය","වයාදවා ඇති
ස්ථානය",ස්ථානගත කිරිම
ගාල්ල,තවල,"අමශෝකාරා ය -
තවල","නාවික හමුදාමව්න 01 X 10 භට පිරිසක් සහ OBM 01, ිංගි 01 ක්
ස ඟ ස්ථානගත කර ඇත."
,නාමගාඩ,"නාමගාඩ ප්‍රා.මල්.
කාර්යාලය","නාවික හමුදාමව්න 01 X 05 භට පිරිසක් සහ OBM 01, ිංගි 01 ක්
ස ඟ ස්ථානගත කර ඇත."
,,"විදයාතිලක පිරිමවන
- නාමගාඩ","නාවික හමුදාමව්න 01 X 05 භට පිරිසක් සහ OBM 01, ිංගි 01 ක්
ස ඟ ස්ථානගත කර ඇත."
,මනළුව,"සුදර්ශනාරා ය -
මනළුව","යුේධ හමුදාමව්න 01 X 16 භට පිරිසක් ස ඟ OBM 01, ිංගි 01 ක්
ස්ථානගත කර ඇත."
ාතර,අතුරලිය,පානදුග,"යුේධ හමුදාමව්න (3 ගැමහ්බ) 01 x 05 භට පිරිසක් යුි බෆල් රථ 01
ක් ස ඟ ස්ථානගත කර ඇත."
,කඹුරුපිටිය,"කඹුරුපිටිය
මපාලිසිය","යුේධ හමුදාමව්න (9 ශ්‍රීලංසිමර) 01x 05 භට පිරිසක් යුි බෆල් රථ
01 ක් ස ඟ ස්ථානගත කර ඇත."
රත්නපුර,රත්නපුර,"නව නගරය -
රත්නපුර","නව නගරමේ නාවික හමුදාමව්න 03 ක භට පිරිසක් OBM 01, ිංගි
01 ක් ස ඟ ස්ථානගත කර ඇත."
