"අ.
අ",,දිස්ික්කය,,"ප්‍රා.
වේ.
සංඛ්‍යා
ව",,,ආපදාව,,,"බලපෑ
මට
ලක්ූ
පවුේ",,,"බලපෑ
මට
ලක්ූ
පුද්ගල
යින්",,,"මිය
යෑ
ම්",,,,තු,,"අතු
රුද
හන්",,,"පූ
ර්ණ
නිවා
ස
හානි",,,"අර්ධ්‍
නිවාස
හානි",,,"ඥාතී
නිවාස
වල
සිටින
පවුේ",,,"ඥාති
නිවාස
වල
සිටින
පුද්ග
ලයින්",,,"ආර
ක්ිත
ස්ථාන
සං
ඛ්‍යාව",,,"පවු
ේ
සං
ඛ්‍යා
ව",,,"පුද්ග
ලයි
න්
සං
ඛ්‍යාව",,
,,,,,,,,,,,,,,,,,,,,වා,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ල ූ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,පු,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ද්ග,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ලයි,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,න්,,,,,,,,,,,,,,,,,,,,,,,,,
01,,කුරුණෑගල,,01,,,"ගස් කඩා
වැටිම්",,,-,,,-,,,01,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,
02,,ම ාණරාගල,,01,,,"නායයෑම්
අවදානම්",,,11,,,41,,,-,,,-,,,-,,,-,,,-,,,11,,,41,,,-,,,-,,,-,,
03,,වව්නියාව,,01,,,"ක්ෂණික
ගංවතුර",,,03,,,09,,,-,,,-,,,-,,,-,,,-,,,03,,,09,,,-,,,-,,,-,,
04,,ත්‍රිකුණා ලය,,01,,,තද වැසි,,,03,,,10,,,-,,,-,,,-,,,-,,,02,,,-,,,-,,,-,,,-,,,-,,
05,,යාපනය,,01,,,"ක්ෂණික
ගංවතුර",,,23,,,71,,,-,,,-,,,-,,,-,,,03,,,-,,,-,,,-,,,-,,,-,,
06,,කෑගල්ල,,01,,,තද වැසි,,,01,,,01,,,-,,,-,,,-,,,-,,,01,,,-,,,-,,,-,,,-,,,-,,
,එකතුව,,,,06,,,-,,,41,,,132,,,01,,,-,,,-,,,-,,,06,,,14,,,50,,,-,,,-,,,-,
