River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.10,2.10,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.64,3.63,Normal,,73.4
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.34,11.15,Normal,,11.5
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.53,1.41,Normal,,17.2
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.55,1.44,Normal,,17.1
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.78,0.75,Normal,,58.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.80,0.79,Normal,,9.9
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.18,1.18,Normal,,17.9
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.63,5.63,Normal,,25.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.75,1.72,Normal,,10.1
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.12,5.04,Alert,Falling,65.1
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.77,4.81,Normal,,44.2
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.09,3.12,Normal,,31.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.46,2.48,Normal,,27.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.85,0.86,Normal,,30.9
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.05,4.18,Normal,,33.5
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.18,1.15,Normal,,39.7
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.38,0.35,Normal,,14.9
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,3.13,3.13,Alert,,0.3
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.30,1.25,Normal,,1.9
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.97,0.96,Normal,,53.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.65,1.63,Normal,,1.8
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.11,-0.11,Normal,,5.7
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.24,1.20,Normal,,57.6
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.10,0.98,Normal,,2.6
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.85,0.82,Normal,,55.0
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,1.47,1.61,Normal,,7.9
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.06,-2.11,Normal,,109.5
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.52,1.50,Normal,,6.2
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.97,0.96,Normal,,52.7
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.69,0.67,Normal,,15.9
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.06,2.08,Normal,,58.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.09,0.98,Normal,,80.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.45,2.55,Normal,,13.7
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.79,0.80,Normal,,43.6
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.17,1.18,Normal,,22.5
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.00,3.02,Normal,,44.9
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.77,1.72,Normal,,47.5
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.00,1.98,Normal,,36.6
