River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12.00
Noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.40,2.70,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.58,3.51,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.80,10.79,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.98,1.93,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.99,0.99,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.73,0.77,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.12,1.12,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.27,2.25,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.07,6.98,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.42,2.39,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.42,2.28,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.25,5.18,Alert,Falling,0.0
"Gin Ganga
(RB 09)",Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.90,2.86,Normal,,0.0
,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.90,1.92,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.62,1.62,Alert,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.83,4.80,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.33,1.33,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.01,1.01,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.77,2.76,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.96,2.93,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.24,2.22,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.46,3.43,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.31,2.28,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.48,3.43,Alert,Falling,0.0
