River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.15,2.15,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.38,3.40,Normal,,14.3,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.22,11.63,Normal,,16.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.20,2.11,Normal,,49,.9
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.71,0.70,Normal,,4.5,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.75,2.76,Normal,,43,.1
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.23,1.23,Normal,,46,.7
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.97,2.00,Normal,,5.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.30,7.33,Normal,,35,.5
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.57,4.70,Normal,,36,.4
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.30,4.27,Alert,Falling,11.0,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,5.91,5.93,Alert,Rising,14.5,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.86,2.88,Normal,,17.4,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.81,3.82,Alert,Rising,5.6,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.32,1.32,Normal,,9.7,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.98,4.95,Normal,,7.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.62,1.66,Normal,,35,.5
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.78,0.88,Normal,,18.1,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.95,0.95,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.67,0.64,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.70,0.70,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.56,1.56,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-1.19,-1.20,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.06,1.06,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.60,0.60,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.42,0.42,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.86,-0.87,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.28,0.27,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.83,-2.86,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.80,2.22,Normal,,1.4,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.39,2.37,Normal,,82.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.41,0.41,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.73,1.73,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.53,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.29,1.30,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.19,0.19,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.76,0.74,Normal,,0.3,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.53,2.53,Normal,,3.4,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.29,1.29,Normal,,3.1,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.47,2.46,Normal,,4.9,
