"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :23rd November 2021 at 0600hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk; Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்க
ளின்
சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"මධ්‍යම පලාත
kj;jpa
khfhzk;
Central",1,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Nuwara Eliya,Landslide,2021.11.09,,,,,,,,,,1,7,29,Ruwaneliya Safety Centre
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,0,0,0,0,1,7,29,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,0,0,0,0,0,1,7,29,
"ඌව
Cth
khfhzk;
Uva",2,"බදුල්ල
gJs;is
Badulla",Badulla,Flood,2021.10.29,395,1473,,,,,348,3,,,,,
,,,Haliela,,,97,406,,,,,74,4,1,,,,
,,,Ella,,,157,646,1,,,6,86,3,,,,,
,,,Passara,,,101,388,3,,,5,75,,,,,,
,,,Bandarawela,,,33,144,,,,,31,,,,,,
,,,Meegahakiula,,,4,12,,,,,4,,,,,,
,,,Lunugala,,,1,6,,,,,1,,,,,,
,,,Welimada,,,8,34,,,,,8,,,,,,
,,,Haldumulla,,,6,32,,,,,6,,,,,,
,,,Ridimaliyadda,,,1,6,,,,,1,,,,,,
,,,Uwaparanagama,,,4,17,,,,,4,,,,,,
,,,Soranathota,,,8,20,,,,,5,,,,,,
,,,Haputale,Landslide,,4,14,,,,,4,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,819,3198,4,0,0,11,647,10,1,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,819,3198,4,0,0,11,647,10,1,0,0,0,
"ස්ත්‍බරගමුව
පලාත
rg;ufKt
Sabaragamuw
a",3,"රත්නපුර
,uj;jpdGhp
Rathnapura",Rathnapura,Landslide Risk,2021.11.11,,,,,,,,,,1,3,7,Kathrik Community Hall
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,0,0,0,0,1,3,7,
,4,"කෑගල්ල
Nffhiy
Kegalle",Dehiovita,Cutting Faliure,2021.11.19,1,4,,,,,,,,,,,
,,,Warakapola,Cutting Faliure,2021.11.19,2,5,,,,,,,,,,,
,,,Mawanella,Cutting Faliure,2021.11.10-18,15,53,,,,,,,,,,,
,,,Rambukkana,Cutting Faliure,2021.11.11,,,,,,,,,,2,9,29,"1. Eeriyagolla Community
Hall
2.Sri Sunethrarama Temple"
,,,,Wall Collapse,2021.11.18,1,3,,,,,1,,,,,,
,,,Kegalle,Wall Collapse,2021.11.19,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,20,69,0,0,0,0,2,0,0,2,9,29,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,20,69,0,0,0,0,2,0,0,3,12,36,
