River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
midnight",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.30,3.20,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.56,5.59,Normal,,23.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.99,12.97,Normal,,49.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.75,1.90,Normal,,24.8,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.98,1.98,Normal,,40.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.95,1.81,Normal,,21.8,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.44,1.44,Normal,,34.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.06,3.06,Alert,,19.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.59,8.58,Normal,,25.9,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.27,4.29,Normal,,11.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.13,3.17,Normal,,9.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.99,6.99,Minor Flood,,19.2,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.30,3.29,Normal,,12.4,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.90,2.89,Normal,,16.4,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.35,1.35,Normal,,8.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.12,5.17,Alert,Rising,18.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.11,2.08,Normal,,23.4,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.40,1.44,Normal,,29.2,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.21,1.22,Normal,,6.2,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.54,0.54,Normal,,3.2,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.78,0.78,Normal,,2.2,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.30,Normal,,2.6,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.15,-0.15,Normal,,9.3,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.79,0.79,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.49,0.49,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.39,0.39,Normal,,0.5,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.82,0.82,Normal,,0.6,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.95,-1.93,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.61,2.60,Normal,,13.5,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.07,2.05,Normal,,34.8,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.37,0.38,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.78,1.78,Normal,,1.1,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,1.9,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.32,4.36,Normal,,51.4,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.98,4.01,Normal,,49.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.17,3.17,Normal,,39.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.04,5.04,Minor Flood,,35.6,
