දින්‍ය : 2026-06-27,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,32,26,95,60,වැසි ස්වල්පයක්
මඩකලපුව,34,26,80,65,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
වකාළඹ,31,26,85,75,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
ගාල්ල,30,26,90,80,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
යාපනය,33,27,85,60,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මහනුවර,29,23,90,70,වැසි වාර කිහිපයක්
නුවරඑළිය,21,15,95,70,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
රත්නපුරය,30,25,95,75,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
ිකුණාමලය,35,26,80,50,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,31,28,90,80,වැසි ස්වල්පයක්
