ප්‍රධාන නගර සදහා කාලගුණ අනාවැකිය දි න ය : 2 0 2 6 - 0 1 -22,,,,,
නගරය,උෂණ් ත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,29,20,95,60,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,29,22,90,65,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,32,23,75,50,ප්‍රධාන වශයයන් වැසි රහිත
ගාල්ල,29,24,85,70,ප්‍රධාන වශයයන් වැසි රහිත
යාපනය,28,20,95,55,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,29,16,90,50,ප්‍රධාන වශයයන් වැසි රහිත
නුවරඑළිය,19,7,90,30,ප්‍රධාන වශයයන් වැසි රහිත
රත්නපුරය,33,21,95,40,ප්‍රධාන වශයයන් වැසි රහිත
ත්‍රිකුණාමලය,29,24,95,55,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,28,24,85,60,ප්‍රධාන වශයයන් වැසි රහිත
