River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.75,2.50,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.29,5.41,Normal,,15,.7
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.64,13.62,Normal,,36.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.00,Normal,,38.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.85,1.56,Normal,,14,.5
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.86,1.68,Normal,,35.3,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.24,1.23,Normal,,19,.2
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.75,2.77,Normal,,16,.2
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.90,8.95,Normal,,24,.4
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,7.40,7.38,Alert,Falling,26,.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.34,5.37,Alert,Rising,2.5,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.75,6.81,Minor Flood,Rising,24,.0
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,5.61,5.66,Alert,Rising,3.6,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.33,4.35,Minor Flood,Rising,0.6,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.78,1.79,Minor Flood,Rising,21,.8
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,7.11,7.14,Minor Flood,Rising,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,5.22,5.20,Minor Flood,Falling,28,.7
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,3.90,3.60,Alert,Falling,32.3,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.96,3.02,Normal,,0.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.00,2.01,Normal,,3.9,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.96,3.98,Alert,Rising,5.0,
