River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.00,0.90,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.44,0.47,Normal,,8.4,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.72,8.71,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.56,1.32,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.33,0.31,Normal,,5.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.13,0.13,Normal,,0.8,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.55,0.55,Normal,,26.1,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.41,0.36,Normal,,0.8,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.27,4.27,Normal,,4.7,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.06,1.03,Normal,,2.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.30,1.29,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.80,1.75,Normal,,26.7,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.40,1.37,Normal,,0.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.23,1.22,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.38,0.34,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.09,2.10,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.21,0.25,Normal,,7.7,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.00,0.06,Normal,,6.7,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.96,0.96,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.32,1.30,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.98,0.98,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.55,1.51,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.01,-0.01,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.68,0.68,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.46,0.46,Normal,,0.8,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.22,0.22,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.21,0.19,Normal,,18.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.80,-2.72,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.06,1.04,Normal,,0.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.77,0.76,Normal,,6.5,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.40,0.39,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.53,1.53,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.56,0.56,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.78,2.74,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.14,0.13,Normal,,1.9,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.40,0.38,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.95,1.94,Normal,,0.5,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.89,0.89,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.72,0.72,Normal,,21.5,,
