River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.60,1.40,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.42,1.42,Normal,,0.2
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.71,9.68,Normal,,1.8
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.79,1.60,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.56,0.54,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.63,0.60,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.67,0.67,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.76,0.67,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.56,5.67,Normal,,0.0
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.07,2.90,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.01,1.00,Normal,,0.0
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,1.93,1.83,Normal,,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.22,1.25,Normal,,5.5
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.70,1.62,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.68,0.71,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.61,3.55,Normal,,5.5
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.20,1.12,Normal,,14.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.50,0.47,Normal,,66.2
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.02,1.01,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.63,0.62,Normal,,7.3
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.74,0.74,Normal,,0.8
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.29,1.29,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.21,0.21,Normal,,17.3
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.77,0.76,Normal,,14.4
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.65,0.65,Normal,,8.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.27,0.28,Normal,,3.8
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.24,-0.22,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.14,-3.17,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.10,2.20,Normal,,0.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.01,1.01,Normal,,0.0
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.25,0.25,Normal,,0.6
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.49,1.48,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.52,0.52,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.40,1.39,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.54,0.53,Normal,,2.7
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.38,1.39,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.47,2.46,Normal,,10.3
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.27,1.27,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.98,0.97,Normal,,0.0
