River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.70,1.30,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.88,2.86,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.81,10.75,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.90,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.90,0.88,Normal,,3.9,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.98,0.94,Normal,,0.7,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.02,1.01,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.34,1.22,Normal,,7.6,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.28,6.24,Normal,,0.1,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.30,2.27,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.79,1.79,Normal,,1.4,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.77,3.73,Normal,,2.2,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.50,2.47,Normal,,7.7,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.94,1.93,Normal,,1.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.44,1.44,Alert,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.40,4.38,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.39,1.39,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.94,0.94,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.78,1.78,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,2.11,2.08,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.63,1.62,Normal,,1,6.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.30,2.25,Normal,,0.0,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.19,1.12,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.39,1.37,Normal,,35.1,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.08,1.04,Normal,,1,2.5
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.64,0.62,Normal,,1.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.58,-0.57,Normal,,7.1,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.57,0.57,Normal,,7.1,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.59,-2.63,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.39,3.50,Normal,,2.6,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.35,1.35,Normal,,1,1.9
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.77,0.80,Normal,,4.5,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.90,2.81,Normal,,0.8,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.68,0.67,Normal,,1.4,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.31,2.34,Normal,,7.9,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.22,1.23,Normal,,7.8,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.36,2.36,Normal,,1,8.7
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.25,3.23,Normal,,2,0.1
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.03,2.02,Normal,,1.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.39,2.36,Normal,,0.2,
