දින්‍ය : 2026-06-01,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,32,27,90,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මඩකලපුව,33,27,80,60,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
හකාළඹ,32,27,80,75,විටින් විට වැසි
ගාල්ල,30,26,90,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,32,28,75,70,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මහනුවර,31,22,90,60,විටින් විට වැසි
නුවරඑළිය,22,14,95,75,වැසි වාර කිහිපයක්
රත්නපුරය,32,24,95,65,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,35,27,85,50,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මන්නාරම,32,28,90,85,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
