River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
05:00
AM","Water
Level at
06:00
AM",Remarks,"Water
21
Level
Rising or
0
Falling","hr RF in
mm at
6:00 AM"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.50,3.20,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.71,4.67,Normal,,9.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.01,11.95,Normal,,8.8
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.68,1.73,Normal,,19.6
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.35,1.28,Normal,,12.9
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.16,1.15,Normal,,10.9
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.99,0.98,Normal,,4.6
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.35,2.40,Normal,,7.6
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.22,8.21,Normal,,11.5
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.75,3.66,Normal,,4.2
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.31,4.22,Alert,Falling,18.4
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.90,5.90,Alert,,6.4
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.05,3.03,Normal,,2.5
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.07,2.09,Normal,,13.6
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.82,0.85,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.56,3.51,Normal,,0.3
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.95,0.93,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.35,0.30,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.03,1.01,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.89,0.90,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.07,1.06,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.20,1.20,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.10,-0.10,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.79,0.79,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.51,0.51,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.26,0.26,Normal,,0.0
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.58,0.53,Normal,,1.1
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.76,-1.73,Normal,,1.8
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.63,2.45,Normal,,14.2
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.55,1.63,Normal,,11.9
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.34,0.34,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.50,1.50,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.51,0.51,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.72,1.75,Normal,,11.8
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.86,4.75,Alert,Falling,6.7
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.86,3.84,Normal,,13.5
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.93,2.93,Normal,,7.3
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.90,2.85,Normal,,12.4
