River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.60,1.50,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.27,4.17,Normal,,12.7,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.81,11.52,Normal,,26.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.56,1.32,Normal,,6,5.4,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.04,1.02,Normal,,129.1,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.81,0.77,Normal,,145.7,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.77,0.76,Normal,,1.2,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.23,1.25,Normal,,4.5,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.91,6.95,Normal,,5,9.4,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.07,3.98,Normal,,29.8,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.14,3.02,Normal,,32.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.79,4.83,Normal,,11.9,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.04,3.06,Normal,,8.0,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.95,2.89,Normal,,85.,,7,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.65,1.65,Alert,,1.3,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.80,6.73,Minor Flood,Falling,34.4,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.98,2.75,Normal,,88.,,3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.08,0.98,Normal,,41.6,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.43,2.39,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.99,1.99,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.19,1.18,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.40,2.35,Normal,,0.0,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.70,1.68,Normal,,0.5,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.70,1.70,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.02,1.02,Normal,,3.4,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.05,1.05,Normal,,10.2,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,1.14,1.18,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,2.28,2.32,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.88,-0.95,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.38,2.41,Normal,,20.1,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.06,1.06,Normal,,3.4,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.01,1.01,Normal,,16.6,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.17,2.16,Normal,,26.3,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.77,0.77,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.35,2.34,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.40,1.41,Normal,,0.7,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.81,0.81,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.56,3.47,Normal,,15.2,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.42,2.35,Normal,,4.2,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.70,3.70,Alert,,13.8,,,
