River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water
1
Level
Rising or
Falling","8 hr RF in
mm at 3:00
am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.70,3.80,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.72,4.67,Normal,,21.6
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.31,12.18,Normal,,15.2
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.61,1.60,Normal,,20.8
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.60,1.49,Normal,,6.8
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.22,1.25,Normal,,54.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.21,1.23,Normal,,21.5
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.22,1.26,Normal,,8.7
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.50,7.60,Normal,,67.9
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.35,3.43,Normal,,76.2
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.58,3.95,Normal,,41.4
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.88,4.00,Normal,,32.9
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.25,2.35,Normal,,146.6
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.22,2.20,Normal,,30.6
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.53,0.57,Normal,,26.3
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.40,2.41,Normal,,10.3
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.55,0.57,Normal,,14.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.05,0.05,Normal,,4.6
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.96,0.96,Normal,,3.9
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,2.65,2.32,Normal,,90.8
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.50,1.50,Normal,,31.4
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,3.12,2.80,Normal,,45.8
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.88,1.65,Normal,,27.8
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.03,1.80,Normal,,33.6
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.74,0.74,Normal,,6.8
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.59,0.59,Normal,,0.4
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.40,0.43,Normal,,8.1
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.57,-1.53,Normal,,15.2
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.66,3.52,Normal,,10.8
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.81,1.78,Normal,,87.2
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.60,0.59,Normal,,14.2
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.94,1.91,Normal,,54.9
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.78,0.80,Normal,,25.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.97,1.95,Normal,,26.3
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.93,5.82,Alert,Falling,32.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,4.16,4.25,Normal,,22.9
,Maha Oya,Giriulla,m,5.50,6.50,7.50,4.30,4.46,Normal,,12.3
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.06,3.06,Normal,,0.7
