River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.95,2.95,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.54,5.43,Normal,,138.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.97,11.81,Normal,,101.,6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.84,1.78,Normal,,107.,1
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.93,0.92,Normal,,44.8,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.49,1.44,Normal,,94.5,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.69,0.69,Normal,,31.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.01,2.02,Normal,,27.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.59,7.57,Normal,,64.8,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.64,2.63,Normal,,51.1,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.46,5.20,Alert,Falling,71.3,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,5.41,5.43,Alert,Rising,65.4,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.35,4.12,Alert,Falling,155.6,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.40,3.44,Normal,,12.8,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.29,1.30,Normal,,4.7,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.89,5.69,Alert,Falling,14.7,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.85,1.80,Normal,,38.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.75,0.77,Normal,,33.7,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.00,1.00,Normal,,11.6,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.59,0.59,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.74,0.74,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.45,1.44,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.19,-0.19,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.12,1.12,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.65,0.65,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.48,0.48,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.79,-0.80,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.35,0.34,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.65,-2.67,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.50,1.50,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.60,1.58,Normal,,39.3,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.54,0.52,Normal,,8.5,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.78,1.77,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.59,0.59,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.42,1.41,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.27,0.25,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,1.02,1.00,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.84,2.82,Normal,,25.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.46,1.44,Normal,,6.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.38,3.36,Alert,Falling,12.4,
