River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.00,0.70,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.77,1.73,Normal,,19.5,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.56,9.49,Normal,,22.7,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.40,1.15,Normal,,7.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.20,0.20,Normal,,9.8,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.44,0.49,Normal,,40,.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.55,0.55,Normal,,12.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.35,1.33,Normal,,6.5,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.24,7.30,Normal,,76.8,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.34,4.20,Normal,,59,.3,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.12,4.03,Alert,Falling,79.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.93,5.00,Alert,Rising,96.4,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.61,2.67,Normal,,26.4,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.65,2.54,Normal,,55,.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.12,1.12,Normal,,18.7,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.43,5.36,Alert,Falling,91.3,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.80,1.67,Normal,,31.1,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.84,0.79,Normal,,93.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,3.14,3.14,Alert,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.59,0.74,Normal,,2.3,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.59,0.59,Normal,,0.5,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.76,1.77,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.10,-0.10,Normal,,10.2,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.70,0.70,Normal,,0.8,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.36,0.36,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.34,0.33,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.11,0.10,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.90,-2.92,Normal,,2.8,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.05,1.04,Normal,,0.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.52,0.52,Normal,,11.2,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.60,0.57,Normal,,5.3,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.47,1.47,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.51,0.51,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.96,0.96,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.03,0.03,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.18,0.18,Normal,,6.2,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.80,1.80,Normal,,0.6,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.76,0.75,Normal,,14.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.45,1.40,Normal,,48,.4,
