River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
PM",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.60,2.20,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.25,2.35,Normal,,5.4,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.70,11.04,Normal,,7.3,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.63,1.50,Normal,,3.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.12,1.02,Normal,,2.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.46,1.31,Normal,,5.5,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.05,1.04,Normal,,8.4,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.07,2.12,Normal,,,14.4,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.62,7.70,Normal,,6.8,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.28,6.26,Alert,Falling,3.7,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.03,5.11,Alert,Rising,6.8,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.34,5.38,Alert,Rising,6.6,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.84,2.90,Normal,,0.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.36,3.10,Normal,,2,,4.3
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.02,1.03,Normal,,1.8,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.90,5.17,Alert,Rising,1.7,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.53,2.50,Normal,,1.2,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.30,1.28,Normal,,2.1,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.98,2.16,Normal,,1.9,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.79,1.78,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.57,1.55,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.81,1.78,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.91,0.91,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.26,1.24,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.71,0.70,Normal,,6.2,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.33,0.33,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.29,1.29,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.95,-2.97,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.42,2.48,Normal,,0.7,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.70,1.65,Normal,,3.6,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.72,0.72,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.05,2.05,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.63,0.63,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,3.50,3.48,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.80,2.83,Normal,,,13.2,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.98,2.98,Normal,,56.2,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.68,2.73,Normal,,1.6,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.76,1.88,Normal,,0.6,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.22,3.30,Alert,Rising,2.0,,
