දිසරික්කය,,ආපදාව,ප්‍රා.ලේ.ලකා,මධයසරථානලේ නම,,,පවුේ,,,පුද්ගලයින්,
,,,,,,,සංඛ්‍යාව,,,සංඛ්‍යාව,
මහනුවර,,ගාංවතුර,"පසරබ්ේ
්කෝර්ල්",නාවලිටිය උතුර වසම,,1,,,3,,
,,,,ඉගුරුඔය දකුණ,,3,,,10,,
,,,,ග්‍රනීි වුඩ්,,1,,,3,,
,,,,බවුවාගම,,20,,,100,,
,,,,නාවලිටිය නැ්ගනහිර,,26,,,144,,
නුවරඑළිය,,ගාංවතුර,අඹගමුව,්දමළ මහ විදයාලය,,22,,,93,,
,,,,ඔල්ටාන ්කාවිල,,27,,,123,,
,,,,බ්ලැක්්වෝටර් පාසල,,21,,,52,,
,,,,එනසල්අරාව පාසල,,1,,,4,,
,,නායයෑම් අවදානම,නුවරඑළිය,රත්තනගිරිය පනසල,,6,,,22,,
,,,,විදුලිපුර පාංසල,,8,,,15,,
,,,අඹගමුව,්ක්හල්අරාව පාසල,,1,,,5,,
,එකතුව,,,,,,137,,,574,
