,දිසරික්කය,"වර්ෂාපතනය
මි.මි.",,,,"ප්‍රාලද්ශිය ලේකම්
ලකාට්ටාසය",ග්‍රාම නිලධාරි වසම,,,,,,,,,,,,
,,,,,,,,,,,ස්ථානය,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"රත්නපුරය 64.00
නුවරඑළිය 29.00
දිසරික්කය",රත්නපුරය,64.0,0,,,වර්ෂාමාන සරථාන,ශ්‍රීග තප ලකාබර ේඇදලති සරථාන,,,,ශ්‍රී,ප,,ල ාබේදල,,,,,
,නුවරඑළිය,29.0,0,,,,,,,,,,,,,,,,
,,,,,ප්‍රා,ලද්ශිය ලේකම්,,ග්‍රාමනිලධාරි වසම/වර්ෂාමා,,,න,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,දිසරික්කය,,,ලකාට්ඨාසය,,,සරථානගත කර ඇති සරථානය,සරථානගත කර ඇති සරථානය,,,,,,,,,,,
රත්තනපුර,,,,කලවාන,,,රඹුක,,,මූලාශ්‍ර - Automated Rai,,,"130.75
n Gauges – MET, Irrigation",,,,,,
,,,,රත්තනපුර,,,්වරලු්ේ,,,,,,,,,,,,
,,,,,,,,,,,,,124.75,,,,,,
,,,,්කා්ළානන,,,්පාේදන,,,,,,86.50,,,,,,
,,,,ඇහැළිය්ගාඩ,,,කන,,්,දගමුව,,,,,,"78.50
වර්ෂාමාන සරථා",,න ගත කර ඇති සරථාන,
,,,,රත්තනපුර,,,මුේදු,,ව,,,,,,,,,,
,,,,,,,,,,,,,,,,"92.00
ප්‍රාලද්ශිය ලේකම්",,,"ග්‍රාමනිලධාරි වසම/වර්ෂාමාන
සරථානගත කර ඇති සරථානය"
කලුතර,,,,බුලත්තසිාංහල,,,බුල,,ත්ත,සිාංහල දිසරික්කය,,,,,,,,,
,,,,,,,,,,,,,,,,"109.00
ලකාට්ඨාසය",,,
,,,,වලල්ලාවිට,,,වලල්,,,,,,,,,,,,
,,,,,,,,,"ලාවිට
රත්තනපුර",,,,,,"97.75
කලවාන",,,,
මාතර,,,,්කාට්පාල,,,විහා,,ර්හරන,,,,,,,,,,
,,,,,,,,,,,,,,,"88.50
රත්තනපුර",,,,
,,,,්කාට්පාල,,,පල්්,,ල්ගම උතුර,,,,,,,,,,
,,,,,,,,,,,,,,,"106.50
්කා්ළානන",,,,
ගාල්ල,,,,,,,්දල්,,ලව,,,,,,,,,,
,,,,,,,,,,,,,,,"94.50
ඇහැළිය්ගාඩ",,,,
,,,,,,,දූලිඇ,,ල්ල,,,,,,,,,,
,,,,,,,,,,,,,,,"84.50
රත්තනපුර",,,,
කෑගල්ල,,,,අරණායක,,,ගාංතු,,,,,,,,,,,,
,,,,,,,,,"න මැදගම
කලුතර",,,,,,"91.50
බුලත්තසිාංහල",,,,
,,,,,,,,,(අවසන් පැය 24 තුළ),,,,,,,,,,
,,,,,,,,,,,,,,,වලල්ලාවිට,,,,
,,,,,,,,,මාතර,,,,,,්කාට්පාල,,,,
,,,,,,,,,,,,,,,්කාට්පාල,,,,
,,,,,,,,,ගාල්ල,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,කෑගල්ල,,,,,,අරණායක,,,,
