දිසරික්කය,,ප්‍රා්ේශිය ්ල්කම්,,සිදුවීම,,
,,්කාට්ඨාසය,,,,
නුවරඑළිය,අඹගමුව,,,"හිටි්ේ ගම ග්‍රාම නිලධාරි වස්ම් ්පාල්ිටිය ප්‍ර්ේශ්ේ ජල පහරක්
හරහා පාර මාරුවීමට යෑ්මන වයස අවු 61ක කානතාවක් සහ
අවුරුදු 05ක දැරියක් ජල පහරට හසු වී මිය ්ගාසර ඇත.",,
,අඹගමුව,,,,"විදුලිපුර ග්‍රාමනිලධාරී වස්ම්, පසරකනඩියක් කඩාවැටීම ්හරතු්වන",
,,,,,අවරුදු 40පමණ පුේකලයකු ජීවිතක්ෂයට පත්තවී ඇත.,
,්කාත්තම්ල්,,,"කැටබුලාන මාර්ග්ේ ජල පහරට හසුවී කානතාවක් සහ ිරිමි
්ද්දනකු අතුරු දහන වී ඇත.",කැටබුලාන මාර්ග්ේ ජල පහරට හසුවී කානතාවක් සහ ිරිමි,
මහනුවර,පසරබා්ේ ්කාර්ළර,,,,නාවලිටිය ගලබඩ ඇල්ල නැරඹීමට ගිය වයස අවු 17ක,
,,,,,කානතාවක් වර්ෂාව සමඟ පැවති සැඩ පහරට ගසා්ගන ්ගාසර,
,,,,,අතුරුදහනව ඇත.,
රත්තනපුර,කිරිඇල්ල,,,,්දාඩම්්ේ ග්‍රාම නිළධාරි වස්ම් ගාංවතුර ්හරතු්වන ජලය ිරී ඇති,
,,,,,්වල් යායක ්බාට්ුවක් මගින ගමන කිරී්ම්දී අනතුරකට ලක්වී,
,,,,,දි්ේ ගිලීම ්හරතු්වන අවු. 47 ක ිරිමි පුේගල්යකු ජීවිතක්ෂයට,
,,,,,පත්තවී ඇත.,
