දින්‍ය : 2026-02-03,,,,,
න්‍ගරය,උෂ්ණත්වය(පස. අංශ්‍ක),,සාපේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,30,22,95,80,සිහින වැසි වාර කිහිපයක්
මඩකලපුව,29,23,95,80,වැසි වාර කිහිපයක්
ගකාළඹ,31,24,90,70,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ොල්ල,30,25,95,75,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,29,23,95,80,වැසි සරවල්පයක්
මහනුවර,30,21,95,60,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,21,13,95,70,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,34,22,95,60,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ිකුණාමලය,29,24,95,80,වැසි වාර කිහිපයක්
මනනාරම,29,24,95,85,වැසි සරවල්පයක්
