ප්‍රධාන නෙර සදහා කාලගුණ අනාවැකිය දි න ය : 2 0 2 5 - 1 2 -17,,,,,
නෙරය,උෂණේ ත්තවය(ගස. අංශක),,සාගේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,23,95,75,විටින් විට වැසි
මඩකලපුව,29,24,95,80,විටින් විට වැසි
කකාළඹ,30,24,85,65,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති කේ
ගාල්ල,30,24,95,75,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති කේ
යාපනය,28,24,95,65,විටින් විට වැසි
මහනුවර,29,21,95,70,විටින් විට වැසි
නුවරඑළිය,19,13,95,80,විටින් විට වැසි
රත්නපුරය,33,23,95,65,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති කේ
ත්‍රිකුණාමලය,28,23,95,80,විටින් විට වැසි
මන්නාරම,29,23,85,65,විටින් විට වැසි
