River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6:00 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.10,2.00,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.30,0.33,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.64,8.44,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.49,1.56,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.25,0.25,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.08,0.06,Normal,,0.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.40,0.40,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.90,0.83,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,3.90,3.91,Normal,,10.6,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,0.63,0.64,Normal,,1.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.98,1.17,Normal,,1.5,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.20,2.18,Normal,,22.9,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.18,1.20,Normal,,6.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.00,1.00,Normal,,3.8,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.49,0.53,Normal,,21.5,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,1.93,1.94,Normal,,17.1,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.20,0.20,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.00,0.00,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.78,0.78,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.62,0.62,Normal,,0.6,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.96,0.96,Normal,,5.2,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.18,1.18,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.05,-0.05,Normal,,3,9.7,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.50,1.52,Normal,,22.3,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.92,0.98,Normal,,3,3.1,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,3.00,3.50,Normal,,3,1.8,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.85,1.91,Normal,,4.4,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-0.10,Normal,,49.7,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.18,1.20,Normal,,1.6,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.61,0.61,Normal,,3.1,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,1.00,0.94,Normal,,75.3,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.44,1.44,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.63,0.63,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.08,0.08,Normal,,5.8,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.80,1.80,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.73,0.73,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.20,1.21,Normal,,0.0,,
