දින්‍ය : 2026-07-02,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,32,27,90,55,ප්‍රධ්‍ාන වශවයන වැසි රහිත
මඩකලපුව,35,27,75,50,ප්‍රධ්‍ාන වශවයන වැසි රහිත
වකාළඹ,32,28,85,70,වැසි ස්වල්පයක්
ගාල්ල,30,27,85,75,වැසි ස්වල්පයක්
යාපනය,33,29,80,60,ප්‍රධ්‍ාන වශවයන වැසි රහිත
මහනුවර,30,24,85,65,වැසි ස්වල්පයක්
නුවරඑළිය,21,13,90,80,වැසි ස්වල්පයක්
රත්නපුරය,32,25,90,70,වැසි ස්වල්පයක්
ිකුණාමලය,37,27,75,45,ප්‍රධ්‍ාන වශවයන වැසි රහිත
මනනාරම,31,28,80,65,ප්‍රධ්‍ාන වශවයන වැසි රහිත
