දින්‍ය : 2026-05-03,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,35,26,95,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මඩකලපුව,35,27,90,70,ප්‍රධ්‍ාන වශගයන් වැසි රහිත
ගකාළඹ,33,27,95,65,වැසි වාර කිහිපයක්
ගාල්ල,31,27,95,70,වැසි වාර කිහිපයක්
යාපනය,36,28,85,55,ප්‍රධ්‍ාන වශගයන් වැසි රහිත
මහනුවර,32,22,95,60,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
නුවරඑළිය,24,13,95,70,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
රත්නපුරය,34,25,95,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ිකුණාමලය,37,26,95,50,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,35,28,90,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
