ප්‍රධාන්‍ න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 -19,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධ්‍පුරය,29,19,90,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මඩකලපුව,29,22,85,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නකොළඹ,30,22,75,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ගොල්ල,30,24,85,70,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
යොපනය,29,19,85,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ම නුවර,29,18,90,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නුවරඑළිය,22,9,90,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
රත්තනපුරය,34,20,95,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ිකුණොමලය,28,20,90,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මේනොරම,29,22,80,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
