ප්‍රධාන නගර සදහා කාලගුණ අනාවැකිය දි න ය : 2 0 2 6 - 0 1 -02,,,,,
නගරය,උෂණ් ත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,30,23,95,75,වැසි වාර කිහිපයක්
මඩකලපුව,29,24,95,85,විටින් විට වැසි
කකාළඹ,31,24,85,70,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,29,24,90,75,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,32,24,95,75,වැසි වාර කිහිපයක්
මහනුවර,29,21,95,75,වැසි වාර කිහිපයක්
නුවරඑළිය,19,11,95,75,වැසි වාර කිහිපයක්
රත්නපුරය,32,23,95,60,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති කේ
ත්‍රිකුණාමලය,29,25,95,85,විටින් විට වැසි
මන්නාරම,31,25,95,80,වැසි වාර කිහිපයක්
