River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.70,3.60,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.26,5.23,Normal,,1,,7.6,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.70,11.82,Normal,,2,,0.2,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.92,1.94,Normal,,2,,7.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.13,1.27,Normal,,,7.5,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.42,1.56,Normal,,2,,5.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.86,0.86,Normal,,,8.2,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.66,3.66,Alert,,,7.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.43,9.40,Normal,,,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.71,3.66,Normal,,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.55,3.52,Normal,,1,,9.9,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.69,7.67,Minor Flood,Falling,2,,3.5,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.25,2.46,Normal,,48.6,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.52,3.52,Alert,,2,,4.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.15,1.16,Normal,,2,,0.8,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.37,4.43,Normal,,53.2,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.26,1.28,Normal,,2,,2.8,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.58,0.64,Normal,,36.8,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.67,2.66,Normal,,,11.3,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.40,1.40,Normal,,,9.6,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.63,3.58,Alert,Falling,,11.8,,,
