River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level 2
Rising or i
Falling","4 Hr RF
n mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.00,0.90,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.48,3.41,Normal,,30.5
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.19,11.15,Normal,,13.4
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.64,1.56,Normal,,21.7
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.01,1.00,Normal,,35.6
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.32,1.30,Normal,,17.6
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.09,1.08,Normal,,29.3
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.46,1.43,Normal,,40.3
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.51,7.52,Normal,,27.5
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.01,3.90,Normal,,31.5
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.80,2.83,Normal,,25.5
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.28,4.32,Normal,,21.1
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.46,2.46,Normal,,31.3
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.77,2.78,Normal,,60.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.72,1.74,Minor Flood,Rising,64.1
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.46,5.46,Alert,,38.7
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.83,1.87,Normal,,24.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.25,1.29,Normal,,38.9
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.80,0.79,Normal,,26.1
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.29,-0.29,Normal,,9.2
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.40,0.40,Normal,,4.3
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.95,0.95,Normal,,6.5
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.32,-0.32,Normal,,25.2
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.59,0.59,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.12,0.12,Normal,,2.3
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.07,0.07,Normal,,0.0
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.43,-1.43,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.29,-0.29,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.06,-3.10,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.70,1.69,Normal,,5.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.45,1.46,Normal,,9.4
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.08,0.07,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.42,1.42,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.36,0.36,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.49,0.47,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.02,0.01,Normal,,7.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,-0.10,-0.10,Normal,,5.3
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.20,3.15,Normal,,44.6
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.95,1.90,Normal,,21.4
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.42,3.41,Alert,Falling,9.2
