,අනු,,දිස්ික්කය,දිනය,ආපදාව,,ප්‍රා.වේ.වකා,,,,ස්ි/ පුරුෂ,,වයස,,
,අ.,,,,,,,,,,භාවය,,,,
01,,,බදුල්ල,2025.11.27,අධික වර්ෂොව සහ නොයයෑම්,,ලුණුගල,,,7,,,,,
,,,,,,,පස්සර,,,2,,,,,
,,,,,,,බදුල්ල,,,5,,,,,
,,,,,,,කනදකැටිය,,,3,,,,,
,,,,,,,මසොරණොමතොට,,,1,,,,,
,,,,,,,ඇල්ල,,,1,,,,,
දිස්ික් එකතුව,,,,,,,,,,19,,,,,
02,,,කුරුණෑගල,2025.11.26,"ගසක් කඩො වැටී
(යතුරුපැදියක් තට)",,ඉබ්බොගමුව,,,පුරුෂ - 1,,,අවු. 34,,
දිස්ික් එකතුව,,,,,,,,,,01,,,,,
03,,,නුවරඑළිය,2025.11.27,නොයයෑම්,,වලපමන,,,04,,,,,
දිස්ික් එකතුව,,,,,,,,,,04,,,,,
04,,,ගොල්ල,2026.11.26,"ජල පහරට හසුවී
(ගං ගඟ)",,බේමේග,,,ගැහැණු - 1,,,,,
,දිස්ික් එකතුව,,,,,,,,,,01,,,,
05,,,අම්පොර,2025.11.27,ජල පහරට හසුවී,,සයිනද රුදු,,,"පිරිමි - 01
ගැහැණු - 02",,,"අවු. 62
අවු. 59 හො අවු 06",,
,,,,,දිමේ ගලිම්,,ස නතුමර්,,,1,,,,,
,,,,,ගස් කඩො වැටීම්,,තිරුක්මකෝවිල්,,,1,,,,,
,දිස්ික් එකතුව,,,,,,,,,,05,,,,
06,,,අනුරොධපුර,2025.11.27,ගස් කඩො වැටීම්,,.නු.ප,,,01,,,,,
,දිස්ික් එකතුව,,,,,,,,,01,,,,,
මුළු මරණ එකතුව,මුළු මරණ එකතුව,,,,,,,,,31,,,,,
