"අ.
අ",දිස්ික්කය,"ප්‍රා.
වේ.
සං
ඛ්‍යාව",ආපදාව,"බල
පෑම
ට
ල
ක්ූ
පවු
ේ","බලපෑ
මට
ලක්ූ
පුද්ග
ලයින්","මිය
යෑ
ම්",,තු,,"අතු
රුද
හන්","පූ
ර්ණ
නිවා
ස
හානි","අර්ධ්‍
නිවාස
හානි","ඥාතී
නිවාස
වල
සිටින
පවුේ","ඥාති
නිවාස
වල
සිටින
පුද්ග
ලයින්",,ආර,,"පවු
ේ
සං
ඛ්‍යා
ව","පුද්ගල
යින්
සංඛ්‍යා
ව"
,,,,,,,,වා,,,,,,,,ක්ි,,,
,,,,,,,,ල,,,,,,,,ත,,,
,,,,,,,,ූ,,,,,,,,ස්ථා,,,
,,,,,,,,පු,,,,,,,,න,,,
,,,,,,,,ද්ග,,,,,,,,සං,,,
,,,,,,,,ලයි,,,,,,,,ඛ්‍යා,,,
,,,,,,,,න්,,,,,,,,ව,,,
1,ොතර,5,"අධික
වැසි/ගස් හො
පස් කඳු කඩො
වැටීම්/අකුණු",100,363,-,-,,,-,-,24,-,-,-,,,-,-
2,කළුතර,2,"අකුණු / තද
වැසි",18,52,-,-,,,-,1,8,-,-,-,,,-,-
3,ගොල්ල,5,"ගංවතුර/ පස්
කණ්ඩි කඩො
වැටීම්
/අකුණු",100,291,1,-,,,-,-,61,-,-,-,,,-,-
4,යොපනය,9,"තද සුළං/
ක්ෂණික
ගංවතුර/
අකුණු",221,711,-,-,,,-,1,15,69,221,1,,,2,9
5,බදුල්ල,14,"තද සුළං/
කණ්ඩි කඩො
වැටිම් / නොය
යෑම් / තද වැසි",103,410,21,2,,,7,-,89,-,-,-,,,-,-
6,කෑගල්ල,6,"අධික
වර්ෂොව හො
සුළං/ කණ්ඩි
කඩො වැටිම්",23,133,7,7,,,-,1,12,1,5,-,,,-,-
7,රත්නපුර,7,"තද වැසි හො
සුළං
/ක්ෂණික
ගංවතුර /
ගල් මපරලි",190,773,-,-,,,-,-,99,39,149,3,,,30,95
8,හම්බනමතොට,6,"අධික වර්ෂොව
හො සුළං/
කණ්ඩි කඩො
වැටිම් /
අකුණු/ ජල
ගැලිම්",107,356,1,-,,,-,-,78,-,-,-,,,-,-
9,නුවරඑළිය,2,නොයයෑම්,11,37,4,-,,,11,-,0,1,8,1,,,9,27
10,පුත්තල,2,"ජල ගැලීම්
හො අධික
සුළං",95,297,-,-,,,-,-,1,-,-,-,,,-,-
11,ත්‍රිකුණො ලය,3,"තද වැසි/ තද
සුළං",44,150,-,-,,,-,-,12,-,-,-,,,-,-
12,කුරුණෑගල,1,"ගස් කඩො
වැටීම්",0,0,1,-,,,-,-,0,-,-,-,,,-,-
13,ම ොණරොගල,4,"නොයයෑම්
අවදොනම්",153,511,-,-,,,-,1,2,130,428,1,,,21,83
14,වව්නියොව,1,"ක්ෂණික
ගංවතුර",03,09,-,-,,,-,-,0,03,09,,,,,
15,මුලතිව්න,3,"තද සුළං /
ක්ෂණික
ගංවතුර",162,481,-,1,,,-,-,1,02,05,,,,,
16,අනුරොධපුර,6,"තද වැසි / තද
සුළං",07,22,1,,,,,,6,,,,,,,
