,සමස්ථ ආපදා විස්තරය Island-wide Total Incidents Summary,,,සංඛ්‍යාව,
• බලපෑ ට ලක් වූ දිස්ත්‍රික් සංඛ්‍යොව,,,20,,
• බලපෑ ට ලක් වූ ප්‍රොමේශිය මල්කම් මකොට්ඨොශ සංඛ්‍යොව,,,109,,
• බලපෑ ට ලක් වූ මුළු පවුල් සංඛ්‍යොව,,,1891,,
• බලපෑ ට ලක් වූ මුළු පුේගල සංඛ්‍යොව,,,6433,,
• මියයෑ,,,41,,
• තුවොල ලැබූ සංඛ්‍යොව,,,10,,
• අතුරුදහන,,,21,,
• ිවොස පූර්ණ හොි සංඛ්‍යොව,,,04,,
• ිවොස අර්ධ හොි සංඛ්‍යොව,,,450,,
• සුරක්ිත ධයස්ථොන සංඛ්‍යොව,,,13,,
• සුරක්ිත ධයස්ථොනයනි සිටින මුළු පවුල් සංඛ්‍යොව,,,169,,
• සුරක්ිත ධයස්ථොනයනි සිටින මුළු පුේගල සංඛ්‍යොව,,,524,,
• ඥොති ිවොස වල සිටින මුළු පවුල් සංඛ්‍යොව,,,256,,
• ඥොති ිවොස වල සිටින මුළු පුේගල සංඛ්‍යොව,,,864,,
