දිස්ික්කය,ස්ථානය,වර්ෂාපතනය (මි.මි),ප්‍රා.වේ.වකාට්ඨා ය
ොතමල්,ගම් ඩුව,496.60,ොතමල්
හනුවර,කයිකොවල,408.80,උඩුදුම්බර
නුවරඑළිය,මහ්වො හැට,399.60,මහ්වොහැට
ොතමල්,මහට්ටිමපොල,387.00,මහට්ටිමපොල
බදුල්ල,කැඳමගොල්ල,380.00,බදුල්ල
නුවරඑළිය,අලමකොලවැව,361.80,අලමකොලවැව
හනුවර,උඩුදුම්බර,355.20,උඩුදුම්බර
නුවරඑළිය,කඳමපොල,336.80,නුවරඑළිය
හනුවර,උිස්පත්තුව,336.00,ැදදුම්බර
ොතමල්,කනමදනුවර,336.00,ොතමල්
බදුල්ල,හොලිඇල,303.60,
බදුල්ල,ඌව මවල්ලස්ස,274.00,බදුල්ල
නුවරඑළිය,අධිකොරීග,272.80,නුවරඑළිය
හනුවර,දුනිනන,273.60,ැද දුම්බර
හනුවර,මහොලික්‍රයිිටි,267.00,හනුවර
බදුල්ල,ස්රංවැලි,266.60,හොලිඇල
කෑගල්ල,මදමතල්ඔය,265.80,
කුරුනෑගල,දුරොමගොඩ,253.00,දුරොමගොඩ
හනුවර,DO හනුවර,229.80,
බදුල්ල,මබෝගහ ිත්ත,221.60,හොලිඇල
හනුවර,මදොමලොස්බොමග,220.00,
බදුල්ල,උඩුවර,220.20,හොලිඇල
හනුවර,ිනදගල,218.20,ගඟවටමකෝරමල්
කුරුනෑගල,වල්මපොලකනද,213.00,කුරුනෑගල
ම ණරොගල,ැදග,203.00,ැදග
බදුල්ල,සපුමගොල්ල,198.60,
කෑගල්ල,අරනොයක,184.00,අරනොයක
බදුල්ල,ඩවුනසයිඩ් වත්ත,179.00,
හනුවර,ගලහ,165.80,මදල්මතොට
