17,,ොතමල්,,8,,,"අධික වර්ෂොව
හො සුළං/
කණ්ඩි කඩො
වැටිම් /",,,41,,,155,,,,,,,,,,,,,,,14,,,11,,,39,,,,,,,,,,,
18,,හනුවර,,1,,,"ගංවතුර/ පස්
කණ්ඩි කඩො
වැටීම්",,,0,,,0,,,0,,,0,,,03,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
19,,අම්පොර,,19,,,"තද සුළං /
ක්ෂණික
ගංවතුර",,,482,,,1550,,,5,,,-,,,-,,,-,,,18,,,-,,,-,,,7,,,107,,,310,,
20,,ගම්පහ,,5,,,"තද වැසි/ තද
සුළං / අකුණු
/ ගස් වැටිම්",,,31,,,132,,,-,,,-,,,-,,,-,,,10,,,-,,,-,,,-,,,-,,,-,,
,එකතුව,,,,109,,,,,,1891,,,6433,,,41,,,10,,,21,,,04,,,450,,,256,,,864,,,13,,,169,,,524,
