දිස්ික්කය,විමසිලිමත්ත මට්ටම (කහ),අවදානම් මට්ටම (ඇම්බර්),ඉවත්තවීම (රතු)
බදුල්ල,,"හල්දුම්මුල්ල, ඇල්ල,
බණ්ඩඩොරමවල, හපුතමල්,
මසොරණමතොට","බදුල්ල, හොලි ඇල, පස්සර,
වැලි ඩ, ඌව පරණග ,
මීගහකිවුල, කනදකැටිය,
ලුණුගල"
මකොළඹ,"පොදුක්ක, සීතොවක",,
ගොල්ල,,"තවල , මනළුව",
ගම්පහ,අත්තනගල්ල,,
හම්බනමතොට,"ඕමක්මවල, වලස්මුල්ල,
තංගල්ල, මබලිඅත්ත,
වීරකැටිය",,
හනුවර,,,"උඩුදුම්බර, මිිමප්, මදොළුව,
ැදදුම්බර, පොතමහ්වොහැට,
ගඟඉහල මකොරමල්, උඩපලොත,
මදල්මතොට, ගඟවටමකෝරමල්,
අකුරණ, උඩුනුවර, යටිනුවර,
පොතදුම්බර, තුම්පමන,
පස්බොමේමකොරමල්, පනවිල,
හොරිස්පත්තුව, පූජොපිටිය,
කුණ්ඩඩසොමල්, හතරලිේද"
කෑගල්ල,,"කෑගල්ල, වරකොමපොල,
ගලිගමුව, රුවනවැල්ල,
යටියනමතොට, දැරියගල,
මදිඕවිට","රඹුක්කන, අරණොයක,
ොවනැල්ල, ුලත්මකොහුපිටිය,"
කුරුණෑගල,,"මපොල්ගහමවල, නොරම් ල,
අලව්නව","ල්ලවපිටිය, ොවතග , රිදීග"
ම ොණරොගල,,"බඩල්කුඹුර, වැල්ලවොය","බිබිල, ැදග"
ොතමල්,,,"යටවත්ත, විල්ගමුව, අඹනගඟ
මකෝරමල්, උකුමවල,
රත්මතොට, නොඋල,
පල්මලමපොල, ලේගල
පල්මල්ග , ොතමල්,"
ොතර,"පස්මගොඩ, හක් න, මුලටියන,
කඩවත් සතර, පිටබැේදර,
මකොටමපොල, කිරිනද
පුහුල්වැල්ල, කඹුරුපිටිය,
දික්වැල්ල, මදවිනුවර,
තිහමගොඩ, වැලිපිටිය, අතුරලිය,
අකුරැක්ක, වැලිග , ොලිම්බඩ",,
නුවරඑළිය,,,"වලපමන, හඟුරනමකත,
ිල්දණ්ඩඩොිනන, තුරට
නුවරඑළිය, මකොත් මල්
නැමගනිර, මකොත් මල්
බටිර, තලවකැමල්, අඹගමුව,
මනෝර්වුඩ්"
රත්නපුර,"ඇඹිලිපිටිය, කිරිඇල්ල,
ඕපනොයක, වැලිමගමපොල,
පැල් ඩුල්ල","රත්නපුර, මකොමලොනන,
කලවොන, ඇලපොත, අයග ,
බලංමගොඩ, කහවත්ත ,
ඉඹුල්මප, ිවිතිගල,",
