,අනු,,දිස්ික්කය,දිනය,ආපදාව,ප්‍රා.වේ.වකා,,,ස්ි/ පුරුෂ,,වයස
,අ.,,,,,,,,භාවය,,
01,,,බදුල්ල,2025.11.17,සැඩ පහරට ගසොමගන යො,වැලි ඩ,,"ස්ත්‍රි - 1
පුරුෂ -1",,,"අවු. 32
අවු. 37"
,දිස්ික් එකතුව,,,,,,,,"0 2
ු",,
02,,,හම්බනමතොට,2025.11.21,"සැඩ පහරට ගසොමගන යො
(ඌරු මබොකු ඔය පිටොර ගැලී )",කටුවන,,පුරුෂ -1,,,අවු. 55
,දිස්ික් එකතුව,,,,,,,,01,,
03,,,කෑගල්ල,2025.11.22,"ගලක් මපරලී
(පහළ කඩුගනනොව)",මාවනැේල,,"පුරුෂ -5
ස්ත්‍රි - 1",,,"අවු.76 , 31 , 60,43,33
අවු. 39"
,,,,2025.11.23,"ගසක් කඩො වැටී
(ත්‍රී මරෝද රථයකට)",මාවනැේල,,පුරුෂ -1,,,අවු. 38
,දිස්ික් එකතුව,,,,,,,,07,,
,මුළු මරණ එකතුව,,,,,,,,10,,
