"අනු
අංකය",දිස්ික්කය,ජලා ය,විවෘත කර ඇති වාන් වදාරටු ප්‍රමාණය
01,අනුරොධපුරය,රොජොංගනය,"වොනමදොරටු 12 අි 06 බැගන ද
වොනමදොරටු 06 අි 05 බැගන ද
වොනමදොරටු 04 අි 04 බැගන ද විවෘතකර ඇත."
02,,අංගමුව,වොනමදොරටු 02 අි 06 බැගන විවෘතකර ඇත.
03,,කලොවැව,වොනමදොරටු 02 අි 04 බැගන විවෘතකර ඇත.
04,කුරුණෑගල,දැදුරු ඔය,වොනමදොරටු 08 අි 17 බැගන ද විවෘතකර ඇත.
05,හනුවර,මපොල්මගොල්ල,වොනමදොරටු 03 අි 02 අඟල් 06 බැගන විවෘතකර ඇත.
06,ම ොණරොගල,මවමහරගල,"වොනමදොරටු 02 අි 01 බැගනද
වොනමදොරටු 04 අඟල් 06 බැගන ද විවෘතකර ඇත."
07,ොතමල්,මබෝවතැනන,වොනමදොරටු 06 අි 03 බැගන විවෘතකර ඇත.
08,හනුවර,රනටැමේ,වොනමදොරටු 02 මීටර් 2 ½ බැගන විවෘතකර ඇත.
09,බදුල්ල,උල්ිටිය - රත්කිඳ,වොනමදොරටු 07 අි 01 බැගන විවෘතකර ඇත.
10,කළුතර,කුකුමල්ගඟ,වොනමදොරටු 02 තත්.ඝන මීටර් 50 බැගන විවෘතකර ඇත.
11,හම්බනමතොට,ලුණුගම්මවමහර,වොනමදොරටු 06 අි 01 අඟල් 07 බැගන විවෘතකර ඇත.
