River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.40,1.05,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.06,2.03,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.03,9.94,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.79,1.75,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.65,0.65,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.70,0.70,Normal,,0.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.83,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.04,0.94,Normal,,1.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.84,5.80,Normal,,0.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.90,1.85,Normal,,7.8,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.97,1.91,Normal,,10.1,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.66,3.63,Normal,,9.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.21,2.12,Normal,,4.3,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.42,2.39,Normal,,0.5,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.66,1.66,Alert,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.28,5.24,Alert,Falling,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.43,1.42,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.77,0.77,Normal,,1.5,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.11,1.09,Normal,,5.2,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.40,0.40,Normal,,23.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.66,0.66,Normal,,0.6,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.35,1.35,Normal,,1.7,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.03,0.03,Normal,,33.3,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.05,1.05,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.73,0.73,Normal,,0.8,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.44,0.44,Normal,,0.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.13,0.11,Normal,,4.4,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.27,1.25,Normal,,4.4,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.50,-1.50,Normal,,0.0,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.45,2.60,Normal,,0.0,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.14,1.13,Normal,,0.0,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.55,0.55,Normal,,0.0,,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.94,0.94,Normal,,2.1,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.26,2.24,Normal,,4.4,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.48,0.47,Normal,,17,.9,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.97,1.96,Normal,,2.2,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.09,0.10,Normal,,0.7,,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.36,1.36,Normal,,0.2,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.71,2.71,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.50,1.50,Normal,,10.4,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.60,1.59,Normal,,1.0,,
