දින්‍ය : 2026-02-08,,,,,
න්‍ගරය,උෂ්ණත්වය(පස. අංශ්‍ක),,සාපේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,30,22,90,80,ප්‍රධ්‍ාන වශතයන් වැසි රහිත
මඩකලපුව,29,24,90,80,වැසි සරවේපයක්
තකාළඹ,31,24,85,60,සවස 4.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාේල,29,24,90,70,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,30,22,85,75,ප්‍රධ්‍ාන වශතයන් වැසි රහිත
මහනුවර,29,19,90,80,ප්‍රධ්‍ාන වශතයන් වැසි රහිත
නුවරඑළිය,21,10,90,70,වැසි සරවේපයක්
රේනපුරය,33,22,90,70,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,29,22,90,70,ප්‍රධ්‍ාන වශතයන් වැසි රහිත
මන්නාරම,31,25,90,75,ප්‍රධ්‍ාන වශතයන් වැසි රහිත
