,,Nivithigala,Tree Fallen,2021:05:25,1,4,,,,,1,,,,,,
,,,High Wind,2021.05.25,14,55,,,,,7,,,,,,
,,Eheliyagoda,Tree Fallen,2021.05.24-26,5,23,,,,,5,,,,,,
,,,High Wind,2021.05.26,14,59,,,,,14,,,,,,
,,Pelmadulla,High Wind,2021.05.25,14,51,,,,,15,,,,,,
,,,Heavy Rain,2021.05.25,4,16,,,,,4,,,,,,
,,,Cutting Faliure,2021.05.25,2,6,,,,,1,,,,,,
,,,Flood,2021.05.25,46,174,,,,,46,,,,,,
,,Kiriella,High Wind,2021.05.24-26,57,241,,,,,57,,,,,,
,,,Flood,2021.05.26,12,40,,,,,,,,,,,
,,,Landslide Risk,2021.05.27,3,14,,,,,,,,,,,
,,,Cutting Faliure,2021.05.24,1,4,,,,,1,,,,,,
,,Kolonna,High Wind,2021.05.24-26,7,24,,,,,7,,,,,,
,,Ayagama,Heavy Rain,2021.05.25-26,4,11,,,,,4,,,,,,
,,,High Wind,2021.05.26,2,6,,,,,2,,,,,,
,,,Flood,2021.05.26,11,49,,,,,1,,,,,,
,,Kalwana,High Wind,2021.05.24-27,11,44,,,,,11,,,,,,
,,,Heavy Rain,2021.05.24-27,14,48,,,,,14,,,,,,
,,Imbulpe,Cutting Faliure,2021.05.24,2,6,,,,,2,,,,,,
,,,High Wind,2021.05.24-26,23,98,,,,,21,,,,,,
,,Opanayake,High Wind,2021.05.25-27,15,49,,,,,3,,,,,,
,,Godakawela,High Wind,2021.05.25,23,77,,,,,23,,,,,,
,,,Heavy Rain,2021.05.26,1,1,,,,,1,,,,,,
,,Balangoda,Heavy Rain,2021.05.25,5,26,,,,,4,,,,,,
,,,High Wind,2021.05.26,9,33,,,,,9,,,,,,
,,Kalthota,High Wind,2021.05.26,6,18,,,,,6,,,,,,
,,Kahawatta,Cutting Faliure,2021.05.26,2,7,,,,,2,,,,,,
,,,Heavy Rain,2021.05.26,2,9,,,,,2,,,,,,
,,,High Wind,2021.05.26,33,138,,,,,29,,,,,,
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1208,4988,0,2,0,1,474,0,0,0,0,0,
14,"කෑගල්ල
Nffhiy Kegalle",Warakapola,Lightning,2021:05:21,1,5,,,,,1,,,,,,
,,,High Wind,,3,11,,,,,3,,,,,,
,,,,2021.05.25-26,22,88,,,,,21,1,,,,,
,,,Cutting Faliure,2021.05.24-26,5,14,,,,,3,,,,,,
,,Kegalle,Tree Fallen,2021.05.23-25,25,99,,,,,20,,,,,,
,,,Lightning,2021:05:25,3,11,,,,,3,,,,,,
,,,Landslide Risk,2021:05:27,3,16,,,,,,,,,,,
,,Galigamuwa,Tree Fallen,2021:05:26,30,94,,,,,30,,,,,,
,,,Lightning,,1,3,,,,,1,,,,,,
,,Deraniyagala,Tree Fallen,2021.05.24-26,21,80,,,,,14,,,,,,
,,,High Wind,,5,19,,,,,5,,,,,,
,,Bulathkohupitiya,Cutting Faliure,2021:05:26,1,5,,,,,,,,,,,
,,,Rock Fallen Risk,,1,4,,,,,,,,,,,
,,,Tree Fallen,2021.05.22-26,8,23,,,,,6,,,,,,
,,Rambukkana,Collapse of a Wall,2021:05:24,1,3,,,,,1,,,,,,
,,,High Wind,2021:05:26,2,7,,,,,2,,,,,,
,,,Landslide Risk,2021:05:26,2,11,,,,,,,,,,,
,,Ruwanwella,Tree Fallen,,22,75,,,,,4,,,,,,
,,,Lightning,2021:05:25,1,5,,,,,1,,,,,,
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,157,573,0,0,0,0,115,1,0,0,0,0,
පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,1365,5561,0,2,0,1,589,1,0,0,0,0,
