River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.70,2.50,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.90,5.81,Normal,,8.,,7,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.30,13.19,Normal,,8.,,1,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.36,2.28,Normal,,11.0,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.18,1.15,Normal,,2.6,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.61,1.56,Normal,,7.,,8,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.03,1.02,Normal,,,4.2,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.24,3.27,Alert,Rising,0.0,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.01,10.03,Alert,Rising,7.,,1,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.85,5.76,Alert,Falling,,5.2,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.30,5.26,Alert,Falling,0.0,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,8.08,8.12,Major Flood,Rising,0.6,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.17,2.12,Normal,,10.8,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.08,4.08,Minor Flood,,14.7,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.28,1.29,Normal,,2.5,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.66,4.60,Normal,,12.6,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.96,0.93,Normal,,10.6,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.30,0.30,Normal,,1.6,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.51,3.44,Alert,Falling,0.0,,,,
