River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.50,1.20,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.37,3.30,Normal,,17.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.23,11.19,Normal,,5.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.99,1.99,Normal,,20.6
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.07,1.04,Normal,,7.6
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.12,1.12,Normal,,10.5
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.08,1.08,Normal,,2.5
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.22,1.10,Normal,,1.1
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.42,6.37,Normal,,5.8
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.37,2.33,Normal,,11.8
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.00,1.97,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.47,3.45,Normal,,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.66,2.63,Normal,,23.9
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.01,2.00,Normal,,2.5
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.88,1.88,Minor Flood,,5.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.02,5.00,Alert,Falling,15.5
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.44,1.44,Normal,,3.2
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.87,0.87,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.88,0.87,Normal,,10.9
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.25,1.23,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.97,0.95,Normal,,25.2
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.81,1.80,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.23,Normal,,11.4
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.10,1.07,Normal,,33.1
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.62,0.60,Normal,,74.1
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.34,0.34,Normal,,0.0
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.70,-0.72,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.44,0.42,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.50,-2.65,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.28,3.40,Normal,,14.9
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.61,1.60,Normal,,21.4
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.69,0.67,Normal,,0.9
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,3.00,2.95,Normal,,6.6
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.47,0.47,Normal,,30.1
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.10,1.06,Normal,,9.2
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.02,-0.02,Normal,,2.1
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,3.05,3.02,Normal,,10.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.26,3.22,Normal,,3.8
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.89,1.86,Normal,,7.9
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.18,2.16,Normal,,13.3
