"Locations for Potential Risk
නායයෑමේ අවදානම පැවතිය හැකි ප්‍රමේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Colombo,"Seethawaka
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kandy,"* Udunuwara,
* Gangawata Korale,
* Yatinuwara and
* Udapalatha
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kegalle,"* Rambukkana,
Dehiowita,
Bulathkohupitiya,
Ruwanwella,
Galigamuwa,
Yatiyanthota,
* Aranayaka,
Mawanella,
Kegalle and
Deraniyagala
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kurunegala,"* Mawathagama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Nuwara Eliya,"* Kothmale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","↑ Ambagamuwa
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Ratnapura,"Kuruwita,
Elapatha,
Kiriella,
Ayagama and
Kalawana
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Ratnapura,
Balangoda,
Eheliyagoda and
Imbulpe
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels down.",,,
*newly added with the last update,,,
