River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.20,1.90,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.45,2.38,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.07,10.05,Normal,,5.5
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.85,1.85,Normal,,6.2
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.71,0.80,Normal,,15.5
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.74,0.75,Normal,,2.8
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.30,1.30,Normal,,24.8
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.37,2.39,Normal,,1.1
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.95,7.96,Normal,,0.6
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.70,4.56,Normal,,5.8
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.35,5.30,Alert,Falling,0.6
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,6.68,6.69,Minor Flood,Rising,0.8
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.88,3.89,Alert,Rising,0.0
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,4.96,4.34,Alert,Falling,7.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.54,1.55,Alert,Rising,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.26,6.19,Minor Flood,Falling,3.2
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.02,2.85,Normal,,25.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.48,1.45,Normal,,6.2
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.39,3.21,Alert,Rising,38.2
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.15,1.13,Normal,,10.4
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.91,1.69,Normal,,74.6
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.52,1.52,Normal,,10.7
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.14,0.18,Normal,,33.8
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.83,0.86,Normal,,8.8
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.60,0.61,Normal,,2.5
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.50,0.49,Normal,,2.7
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.72,0.76,Normal,,7.6
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.25,-2.20,Normal,,0.3
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.60,2.70,Normal,,4.9
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.48,1.45,Normal,,22.3
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.51,0.92,Normal,,16.9
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,3.80,4.15,Normal,,43.1
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.61,0.61,Normal,,13.4
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.55,1.55,Normal,,30.9
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.62,0.66,Normal,,34.8
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.78,0.77,Normal,,2.8
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.81,2.78,Normal,,0.3
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.51,1.52,Normal,,2.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.70,2.64,Normal,,5.0
